ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/appartement-87366781-baan-50-m/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/huis-87405103-bermweg-22-c/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/huis-87405273-bermweg-22-b/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-87599502-kratonkade-536/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/huis-87496987-lissabonerf-6/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-88942660-dirkslandstraat-74-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-88941233-jan-pettersonstraat-126/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-88915533-de-savornin-lohmanlaan-43-a1/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-88933681-blokweg-66/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-88917805-blommersdijkselaan-4-b02/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-88863057-strevelsweg-347/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/appartement-87762629-mauritsweg-45-c/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/huis-87737350-willebrordusplein-12-bwnr-10/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/huis-87737348-willebrordusplein-12-bwnr-6/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
https://www.funda.nl/en/koop/rotterdam/huis-87627964-bovenstraat-36/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p83/,20220124_235855
