ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/appartement-42546113-uitweg-66/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-41339642-azaleastraat-21-b/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-42660605-koer-7-02-05/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42589295-tuinbuurt-vrijlandt-bnr-47/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42559147-tuinbuurt-vrijlandt-bnr-55/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42440457-tuinbuurt-vrijlandt-bnr-05/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42413654-rijwoning-bouwnr-55/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-42489272-groot-groter-grootst-zalmhaven-bouwnr-442/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42660656-koer-13-00-11/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42660645-koer-12-00-02/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/huis-42547009-parallelstraat-21/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-88995478-moliereweg-647/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-42580637-maashaven-nz-711/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-42676400-torenappartement-hoog-medium-bouwnr-82/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
https://www.funda.nl/en/koop/rotterdam/appartement-88974529-grote-beer-970/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p46/,20220124_235150
