ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/huis-88948001-jufferkade-74/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-42568932-nancy-zeelenbergsingel-14/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/huis-42445740-tuinbuurt-vrijlandt-bnr-03/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/huis-42445748-tuinbuurt-vrijlandt-bnr-44/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/huis-42413729-tuinbuurt-vrijlandt-bnr-09/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/huis-42482746-bouwnummer-bouwnr-15/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-42580969-imagine-bnr-72/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-42446739-imagine-bnr-159/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-42446737-imagine-bnr-128/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-88987606-botersloot-42-b/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-88974611-dickensstraat-99/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-42448315-appartement-dok-en-kaai-bouwnr-13/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-41332283-dumasstraat-201-263/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/huis-42545788-valleiwoningen-bouwnr-g11/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
https://www.funda.nl/en/koop/rotterdam/appartement-42497344-rodezand-3-e-39/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p76/,20220124_235732
