ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/appartement-42585817-kemperpad-29/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/appartement-42551144-calandstraat-58-e/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/appartement-42439317-kruisplein-1028/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/appartement-42457883-troelstrastraat-4-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/appartement-41364907-kleiweg-164-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/appartement-41772493-goereesestraat-52-c/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-88030661-koldingdreef-37/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-42657793-burgemeester-molenaarstraat-53/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-42541781-bloemenlaan-38/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-42540427-wagtendonkpad-2/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-88995534-keltenoord-64/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-42535023-thicopad-18/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-88979620-maskerbloemstraat-12/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-42504664-slangenburgerf-17/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
https://www.funda.nl/en/koop/rotterdam/huis-42597133-bergse-rechter-rottekade-11-b/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p66/,20220126_210745
