ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/appartement-42523281-stuart-millpad-51/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88986717-mathenesserlaan-273-b/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42521555-oostmaaslaan-820/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88984253-plein-1953-155/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42513709-factorij-111/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88973973-van-wijngaardenlaan-67/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88970171-boompjes-666/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42502291-maashaven-nz-545/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88948357-keyenburg-44-e/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88918117-tapuitstraat-90-c/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42552284-schiehavenkade-228/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42550379-schoonegge-97/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42556043-van-wijngaardenlaan-112/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-42449077-drinkwaterweg-84/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
https://www.funda.nl/en/koop/rotterdam/appartement-88800686-bergselaan-342-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p58/,20220124_235402
