ad_link,page_link,link_download_date_time
https://www.funda.nl/en/koop/rotterdam/appartement-42650921-type-e-bouwnr-26/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42650919-type-a-bouwnr-38/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42650900-type-bg-bouwnr-1/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42650992-type-j-bouwnr-55/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-88901889-van-opbergenstraat-56/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-88994788-klaverstraat-79-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42539339-walenburgerweg-4-c03/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-88999945-deensestraat-23-b/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-88986539-griendwerkerstraat-17/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42512719-sint-jobskade-50/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42515536-urban-work-loft-bouwnr-2/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42503678-penthouse-top-bouwnr-193/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42503666-penthouse-bouwnr-107/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-88875983-strevelsweg-117-a/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
https://www.funda.nl/en/koop/rotterdam/appartement-42497684-rodezand-3-a37/?navigateSource=resultlist,https://www.funda.nl/en/koop/rotterdam/p73/,20220126_210845
